Layer,Same_Semantic_Same_Format,Same_Semantic_Diff_Format
1,0.8501119,0.7659933
2,0.80193686,0.702526
3,0.77959096,0.68141234
4,0.7676913,0.67286396
5,0.76134676,0.6811695
6,0.7638203,0.6734976
7,0.75784254,0.672846
8,0.72680545,0.6288274
9,0.7138449,0.6081496
10,0.7044006,0.5846443
11,0.6992852,0.575009
12,0.70773077,0.5986023
13,0.6895873,0.5795047
14,0.7040295,0.6095084
15,0.68569386,0.5923407
16,0.67838085,0.577816
17,0.68062645,0.5789727
18,0.67105705,0.56188744
19,0.66150016,0.5487609
20,0.65787387,0.5434854
21,0.65148664,0.5337807
22,0.64743304,0.52770066
23,0.64348483,0.52628493
24,0.64052474,0.5212006
25,0.65052867,0.5320592
26,0.6778991,0.5674051
