,System-1陷阱_TruthfulQA,System-1陷阱_TruthfulQA_SplitHalf,System1陷阱_同质_CSQA,System1陷阱_同质_CSQA_SplitHalf,事实冲撞_HaluEval,事实冲撞_HaluEval_SplitHalf,事实冲撞_同质_SciQ,事实冲撞_同质_SciQ_SplitHalf,数学逻辑_GSM8K,数学逻辑_GSM8K_SplitHalf,数学逻辑_同质_MathQA,数学逻辑_同质_MathQA_SplitHalf,数学逻辑_同质_SVAMP,数学逻辑_同质_SVAMP_SplitHalf
System-1陷阱_TruthfulQA,1.0,0.733841598033905,0.04202321171760559,0.20992597937583923,0.08566361665725708,0.13357234001159668,0.16636472940444946,0.09173499047756195,0.20291569828987122,0.43579792976379395,-0.04510684683918953,-0.014816481620073318,0.3060358762741089,0.08567555993795395
System-1陷阱_TruthfulQA_SplitHalf,0.733841598033905,1.0,0.25236979126930237,0.43257471919059753,0.19818589091300964,0.16838303208351135,0.18623948097229004,0.1213713139295578,0.19589656591415405,0.38389819860458374,0.05449124425649643,0.04662666097283363,0.30749696493148804,0.16092798113822937
System1陷阱_同质_CSQA,0.04202321171760559,0.25236979126930237,1.0,0.7013939023017883,0.653234601020813,0.4522511065006256,0.33295735716819763,0.3095715343952179,0.08620202541351318,0.07758650183677673,0.2423124462366104,0.2509644329547882,0.06726120412349701,0.0033087455667555332
System1陷阱_同质_CSQA_SplitHalf,0.20992597937583923,0.43257471919059753,0.7013939023017883,1.0,0.44790247082710266,0.4623265862464905,0.46604520082473755,0.4486837387084961,0.07383596897125244,0.1815240979194641,0.11625747382640839,0.10096573084592819,0.21176467835903168,0.039201416075229645
事实冲撞_HaluEval,0.08566361665725708,0.19818589091300964,0.653234601020813,0.44790247082710266,1.0,0.740935206413269,0.2015482485294342,0.2076800912618637,0.15862798690795898,0.1227128654718399,0.24143162369728088,0.23814475536346436,0.04340290278196335,0.052739933133125305
事实冲撞_HaluEval_SplitHalf,0.13357234001159668,0.16838303208351135,0.4522511065006256,0.4623265862464905,0.740935206413269,1.0,0.31098440289497375,0.37799400091171265,0.23805668950080872,0.2817210555076599,0.2812255620956421,0.24268224835395813,0.1893365979194641,0.15722745656967163
事实冲撞_同质_SciQ,0.16636472940444946,0.18623948097229004,0.33295735716819763,0.46604520082473755,0.2015482485294342,0.31098440289497375,1.0,0.769942581653595,0.22824841737747192,0.25791776180267334,0.04776447266340256,-0.01366513129323721,0.26795220375061035,0.21992290019989014
事实冲撞_同质_SciQ_SplitHalf,0.09173499047756195,0.1213713139295578,0.3095715343952179,0.4486837387084961,0.2076800912618637,0.37799400091171265,0.769942581653595,1.0,0.21149268746376038,0.22577103972434998,0.0985819473862648,0.04457661509513855,0.23272092640399933,0.24292230606079102
数学逻辑_GSM8K,0.20291569828987122,0.19589656591415405,0.08620202541351318,0.07383596897125244,0.15862798690795898,0.23805668950080872,0.22824841737747192,0.21149268746376038,1.0,0.7970517873764038,0.4761730432510376,0.48870566487312317,0.3842201828956604,0.35455361008644104
数学逻辑_GSM8K_SplitHalf,0.43579792976379395,0.38389819860458374,0.07758650183677673,0.1815240979194641,0.1227128654718399,0.2817210555076599,0.25791776180267334,0.22577103972434998,0.7970517873764038,1.0,0.31303489208221436,0.3433431386947632,0.48228490352630615,0.33106565475463867
数学逻辑_同质_MathQA,-0.04510684683918953,0.05449124425649643,0.2423124462366104,0.11625747382640839,0.24143162369728088,0.2812255620956421,0.04776447266340256,0.0985819473862648,0.4761730432510376,0.31303489208221436,1.0,0.906528115272522,0.27263718843460083,0.5684201121330261
数学逻辑_同质_MathQA_SplitHalf,-0.014816481620073318,0.04662666097283363,0.2509644329547882,0.10096573084592819,0.23814475536346436,0.24268224835395813,-0.01366513129323721,0.04457661509513855,0.48870566487312317,0.3433431386947632,0.906528115272522,1.0,0.2415482997894287,0.4901946783065796
数学逻辑_同质_SVAMP,0.3060358762741089,0.30749696493148804,0.06726120412349701,0.21176467835903168,0.04340290278196335,0.1893365979194641,0.26795220375061035,0.23272092640399933,0.3842201828956604,0.48228490352630615,0.27263718843460083,0.2415482997894287,1.0,0.4967578947544098
数学逻辑_同质_SVAMP_SplitHalf,0.08567555993795395,0.16092798113822937,0.0033087455667555332,0.039201416075229645,0.052739933133125305,0.15722745656967163,0.21992290019989014,0.24292230606079102,0.35455361008644104,0.33106565475463867,0.5684201121330261,0.4901946783065796,0.4967578947544098,1.0
