,System-1陷阱_TruthfulQA,System1陷阱_同质_CSQA,事实冲撞_HaluEval,事实冲撞_同质_MMLU_CollBio,事实冲撞_同质_SciQ,事实冲撞_同质_TriviaQA,数学逻辑_GSM8K,数学逻辑_同质_MMLU_ElemMath,数学逻辑_同质_MathQA,数学逻辑_同质_MultiArith,数学逻辑_同质_SVAMP
System-1陷阱_TruthfulQA,1.0,0.22517919789539168,0.15966089971422393,0.12797393245447566,0.18715959879333502,0.0964268560888047,0.21935358026708177,0.15847188047833327,0.1515327831283177,0.2016034870705041,0.166216704558254
System1陷阱_同质_CSQA,0.22517919789539168,1.0,0.18124514469104777,0.15206453196846736,0.19764491661020195,0.13275872228418623,0.1477601605895504,0.1562229940687192,0.11987603250564907,0.1957176645213926,0.11799254554891614
事实冲撞_HaluEval,0.15966089971422393,0.18124514469104777,1.0,0.172546537604237,0.10502245664753061,0.12716685004768166,0.10978322587134644,0.1481302043527318,0.09485729808865771,0.1300360733443306,0.09440110493956322
事实冲撞_同质_MMLU_CollBio,0.12797393245447566,0.15206453196846736,0.172546537604237,1.0,0.09095711593591134,0.11044726430213217,0.1259157717068019,0.2457423271775675,0.07842022867003222,0.13624427756398688,0.07976100229081944
事实冲撞_同质_SciQ,0.18715959879333502,0.19764491661020195,0.10502245664753061,0.09095711593591134,1.0,0.09774272544557519,0.17674609089912438,0.14565099761225062,0.11676389814779074,0.13464817409774293,0.09134132894912803
事实冲撞_同质_TriviaQA,0.0964268560888047,0.13275872228418623,0.12716685004768166,0.11044726430213217,0.09774272544557519,1.0,0.110125333394086,0.14249456197888452,0.1015160193224983,0.10884389450603331,0.07766756909341202
数学逻辑_GSM8K,0.21935358026708177,0.1477601605895504,0.10978322587134644,0.1259157717068019,0.17674609089912438,0.110125333394086,1.0,0.20610612981548462,0.22690829297147094,0.1375020901469345,0.1356085318507464
数学逻辑_同质_MMLU_ElemMath,0.15847188047833327,0.1562229940687192,0.1481302043527318,0.2457423271775675,0.14565099761225062,0.14249456197888452,0.20610612981548462,1.0,0.10723573509258343,0.1352952325208635,0.1276239420163819
数学逻辑_同质_MathQA,0.1515327831283177,0.11987603250564907,0.09485729808865771,0.07842022867003222,0.11676389814779074,0.1015160193224983,0.22690829297147094,0.10723573509258343,1.0,0.1162826611367177,0.08355775617040749
数学逻辑_同质_MultiArith,0.2016034870705041,0.1957176645213926,0.1300360733443306,0.13624427756398688,0.13464817409774293,0.10884389450603331,0.1375020901469345,0.1352952325208635,0.1162826611367177,1.0,0.10994220952251242
数学逻辑_同质_SVAMP,0.166216704558254,0.11799254554891614,0.09440110493956322,0.07976100229081944,0.09134132894912803,0.07766756909341202,0.1356085318507464,0.1276239420163819,0.08355775617040749,0.10994220952251242,1.0
